123456 Maria Gutierrez 1 ;
123556 Sofia Cruz 2 ;
234667 Manuel Herrera 3 ;
345778 Raul Lopez 1 ;
456889 Laura Ramirez 1 ;
567900 Gabriela Gonzalez 2 ;
678211 Sergio Pineda 3 ;
789322 Carolina Torres 2 ;
890433 Lucia Fernandez 3 ;
901544 Raul Rojas 1 ;
123667 Antonio Vargas 3 ;
234778 Miguel Salazar 2 ;
345889 Lucia Reyes 3 ;
456900 Alejandro Herrera 1 ;
567011 Sofia Gonzalez 3 ;
678122 Valeria Torres 2 ;
789233 Manuel Mendoza 1 ;
890344 Laura Lopez 2 ;
901455 Raul Jimenez 1 ;
123678 Hugo Salazar 3 ;
234789 Camila Rios 2 ;
345900 Miguel Torres 1 ;
456011 Paula Gonzalez 3 ;
567122 Carolina Lopez 2 ;
678233 Valeria Herrera 1 ;
789344 Raul Mendoza 3 ;
890455 Hugo Ramirez 2 ;
901566 Laura Gonzalez 3 ;
123789 Tomas Torres 2 ;
234900 Sergio Reyes 1 ;
345011 Lucia Jimenez 2 ;
456122 Raul Pineda 3 ;
567233 Alejandro Gonzalez 1 ;
678344 Hugo Herrera 2 ;
789455 Valeria Salazar 1 ;
890566 Miguel Rojas 3 ;
901677 Carolina Lopez 2 ;
123800 Lucia Ramirez 3 ;
234911 Raul Gonzalez 1 ;
345022 Alejandro Torres 3 ;
456133 Hugo Fernandez 2 ;
567244 Carolina Herrera 1 ;
678355 Lucia Mendoza 2 ;
789466 Raul Torres 3 ;
890577 Sergio Ramirez 2 ;
901688 Valeria Lopez 3 ;
123911 Miguel Herrera 1 ;
234022 Raul Gonzalez 2 ;
345133 Hugo Vargas 1 ;
456244 Carolina Salazar 3 ;
567355 Lucia Ramirez 2 ;
678466 Raul Herrera 3 ;
789577 Sergio Gonzalez 1 ;
890688 Valeria Torres 2 ;
901799 Alejandro Reyes 3 ;
123022 Miguel Fernandez 1 ;
234133 Raul Herrera 3 ;
345244 Hugo Gonzalez 1 ;
456355 Lucia Torres 2 ;
567466 Alejandro Lopez 3 ;
678577 Sergio Ramirez 2 ;
789688 Valeria Gonzalez 1 ;
890799 Carolina Torres 3 ;
901911 Hugo Mendoza 2 ;
123133 Lucia Gonzalez 1 ;
234244 Raul Torres 2 ;
345355 Sergio Lopez 3 ;
456466 Alejandro Herrera 1 ;
567577 Hugo Ramirez 3 ;
678688 Valeria Lopez 2 ;
789799 Carolina Gonzalez 3 ;
890911 Raul Herrera 2 ;
901022 Lucia Torres 3 ;
728391 Valeria Guzman 1 ;
821437 Fernando Vargas 1 ;
912674 Claudia Ramos 1 ;
678429 Lucia Pineda 1 ;
831492 Tomas Morales 1 ;
923581 Sofia Reyes 1 ;
712894 Raul Herrera 1 ;
892347 Camila Ortega 1 ;
923471 Gabriel Mendez 1 ;
819473 Patricia Silva 1 ;
732814 Elena Vargas 2 ;
923748 Hugo Ramirez 2 ;
713482 Valeria Gonzalez 2 ;
892314 Tomas Jimenez 2 ;
923471 Laura Salinas 2 ;
783294 Manuel Rojas 2 ;
912847 Claudia Mendoza 2 ;
672491 Camila Ortiz 2 ;
812394 Gabriel Lopez 2 ;
928374 Lucia Gomez 2 ;
894172 Raul Torres 3 ;
671923 Sofia Espinoza 3 ;
983471 Hugo Alvarez 3 ;
723841 Valeria Reyes 3 ;
913472 Tomas Rios 3 ;
782491 Lucia Herrera 3 ;
923817 Manuel Chavez 3 ;
821394 Camila Salinas 3 ;
892473 Patricia Mendez 3 ;
672814 Raul Paredes 1 ;
923481 Sofia Gonzalez 1 ;
812947 Tomas Vargas 1 ;
923417 Claudia Lopez 2 ;
792481 Gabriel Espinoza 1 ;
683214 Raul Ortega 1 ;
923481 Valeria Morales 1 ;
587456 Luis Alvarez 1 ;
708467 Jesus Marcano 1 ;
